brand,model,type,strings,frets,price,mensuration,body,colour,descr,img
Homage,HEG350BK,Stratocaster,6,22,14.110,25.5,массив твёрдого дерева,черный,C:/Users/user/ct/da/lab1-parser/descrs/1.html,C:/Users/user/ct/da/lab1-parser/imgs/1.jpg
ROCKET,ST-02 BB,Stratocaster,6,22,9.990,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/2.html,C:/Users/user/ct/da/lab1-parser/imgs/2.jpg
ROCKET,EG-1 BK,Ibanez,6,22,11.990,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/3.html,C:/Users/user/ct/da/lab1-parser/imgs/3.jpg
ROCKET,ST-32 SB,Stratocaster,6,22,7.990,25.5,липа,санбёрст,C:/Users/user/ct/da/lab1-parser/descrs/4.html,C:/Users/user/ct/da/lab1-parser/imgs/4.jpg
ROCKET,ST-01 SB,Stratocaster,6,22,9.490,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/5.html,C:/Users/user/ct/da/lab1-parser/imgs/5.jpg
Cort,CR250-TBK Classic Rock,Les Paul,6,22,46.330,24.724,красное дерево,черный,C:/Users/user/ct/da/lab1-parser/descrs/6.html,C:/Users/user/ct/da/lab1-parser/imgs/6.jpg
Fender,SQUIER BULLET TREM AWT,Stratocaster,6,22,49.165,25.5,липа,коричневый санбёрст brown sunburst,C:/Users/user/ct/da/lab1-parser/descrs/7.html,C:/Users/user/ct/da/lab1-parser/imgs/7.jpg
Schecter,SGR BANSHEE-6 BLK,Stratocaster,6,24,29.625,25.5,липа,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/8.html,C:/Users/user/ct/da/lab1-parser/imgs/8.jpg
Aria,STG-003SPL BK,Stratocaster,6,22,15.052,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/9.html,C:/Users/user/ct/da/lab1-parser/imgs/9.jpg
ROCKET,ST-01 RD,Stratocaster,6,22,9.490,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/10.html,C:/Users/user/ct/da/lab1-parser/imgs/10.jpg
