,price,descr
0,14.11,"Homage HEG350 - электро-гитара под Telecaster. Мензура 648мм, корпус - дерево, гриф - клен, накладка грифа - клен, механика - гровер, S+S, 1V+1T+3WS, бридж - фиксированный,  Homage."
1,9.99,"Электрогитара ROCKET ST-02 (КОМПЛЕКТ - шнур Jack-Jack, ключ для настройки)."
2,11.99,"ROCKET EG-1 BK – мгновенно узнаваемой формы электрогитара с современной функциональностью и классической черной отделкой. У этого стратокастера корпус изготовлен из ольхи и оборудован H/S/S конфигурацией звукоснимателей, что дает мощное рок звучание, а также искрящиеся чистые тона. Плюс тремоло бридж позволяет легко добавить вибрато эффект, не повлияв при этом на настройку. Для повышения игрового комфорта и по традиции гриф сделан из клена в «С» профиле и покрыт палисандровой накладкой с 22 гладкими ладами. В общем, эта электрогитара предлагает отличное соотношение цены/качества и является потрясающим стартовым инструментом, а также хорошим подспорьем в качестве резервной гитары для продвинутых гитаристов."
3,7.99,"Детская электрогитара ROCKET ST-32/SB является уменьшенной версией популярного стратокастера. Корпус сделан из липы, который отличается легким весом, при этом обеспечивает полным тоном, оставаясь комфортабельным для начинающих. Два сингла с 3-позиционным переключателем и регулятором тона и громкости дают возможность создавать широкое разнообразие звуков в соответствии с требованиями разных игровых стилей, что великолепно для обучающихся гитаристов. Гриф с креплением на болтах произведен из клена и увенчан палисандровой накладкой с 22 латунными ладами, а также характеризуется весьма удобным профилем с гладкой поверхностью. Как и профессиональные модели, она изготовлена качественно и с тщательным вниманием к каждой детали, а цвет санберста придает классический стиль и универсальный вид. Более того, эта удивительная электрогитара поставляется не одна, а с чехлом, медиатором, шнуром джек-джек и запасными струнами, таким образом, каждый новичок будет иметь все необходимое сразу."
4,9.49,"Электрогитара Rocket ST-01 - это прекрасный инструмент для начинающего гитариста. Модель очень удобно лежит в руке, струны находятся на оптимальном расстоянии от грифа. В комплексе это дает самые приятные ощущения при игре и располагает к продолжительным занятиям."
5,46.33,"Cort CR250 – шестиструнная электрогитара среднего ценового диапазона в корпусе Les Paul (LP) с одним катавеем. Гитара входит в серию Classic Rock, внешний вид и ощущение у инструментов которой находятся на уровне самых востребованных винтажных инструментов «золотой эры» электрогитар. Основа каждой гитары серии – специально разработанные звукосниматели серии ClassicRocker для создания аутентичного рокерского звука: ClassicRocker-II (магниты Alnico II) в позициях грифа и бриджа. Катушки калибра 0.06” дают «жирный» винтажный звук, захватывают самую суть этого звука. В дизайне также необходимо отметить изогнутый топ из огненного клена."
6,49.165,"FENDER SQUIER – бюджетная модель от знаменитого американского гитарного бренда, простая, практичная и удобная гитара, разработанная для начинающих гитаристов и обучающихся игре на инструменте. Электрогитара обладает всеми характерными чертами, которые сделали Стратокастер одной из самых популярных и любимых моделей в мире. Корпус классической узнаваемой формы окрашен в элегантный цвет «коричневый санбёрст», кленовый гриф имеет удобный профиль «С». Гитара оснащена тремя синглами с пятипозиционным переключателем и тремоло, открывающим широкие возможности для импровизации. Это отличный выбор для Вашей первой электрогитары, в каком бы музыкальном стиле Вы ни хотели начать играть."
7,29.625,Schecter SGR BANSHEE-6 - еще более качественный звук по доступной цене.
8,15.052,"Aria STG-003SPL – шестиструнная электрогитара в корпусе типа «стратокастер». Она входит в серию STG, где представлены электрогитары с различными вариантами отделки. Цельный корпус выполнен из липы, гриф выполнен из клена, у него болтовое крепление, а накладка – морёный орех. У гитары стандартные 22 лада, а длина мензуры составляет 648 мм (25.5”)."
9,9.49,"Электрогитара Rockset ST-01 - это прекрасный инструмент для начинающего гитариста. Модель очень удобно лежит в руке, струны находятся на оптимальном расстоянии от грифа. В комплексе это дает самые приятные ощущения при игре и располагает к продолжительным занятиям."
